Date,Close
2021-03-22,12.850000
2021-03-23,12.210000
2021-03-24,12.140000
2021-03-25,12.320000
2021-03-26,12.300000
2021-03-29,12.150000
2021-03-30,12.460000
2021-03-31,12.250000
2021-04-01,12.170000
2021-04-05,12.700000
2021-04-06,12.920000
2021-04-07,12.730000
2021-04-08,12.510000
2021-04-09,12.510000
2021-04-12,12.380000
2021-04-13,12.200000
2021-04-14,12.240000
2021-04-15,12.240000
2021-04-16,12.230000
2021-04-19,12.110000
2021-04-20,11.450000
2021-04-21,11.730000
2021-04-22,11.940000
2021-04-23,12.220000
2021-04-26,12.270000
2021-04-27,12.490000
2021-04-28,12.430000
2021-04-29,11.260000
2021-04-30,11.540000
2021-05-03,11.630000
2021-05-04,11.410000
2021-05-05,11.610000
2021-05-06,11.740000
2021-05-07,11.820000
2021-05-10,11.710000
2021-05-11,11.580000
2021-05-12,11.330000
2021-05-13,11.550000
2021-05-14,11.840000
2021-05-17,12.150000
2021-05-18,12.140000
2021-05-19,12.110000
2021-05-20,12.490000
2021-05-21,13.330000
2021-05-24,13.060000
2021-05-25,12.810000
2021-05-26,13.900000
2021-05-27,14.880000
2021-05-28,14.530000
2021-06-01,14.810000
